year,breeding_herd_thousand_head,clean_pigs_slaughtered_thousand_head,uk_production_thousand_tonnes_dressed_carcase_kg,imported_thousand_tonnes_carcass_weight_kg,exported_thousand_tonnes_carcass_weight_kg,total_supply_thousand_tonnes_carcass_weight_kg,pork_ppc_average_g_ONS,bacon_ham_uncooked_ppc_average_g_ONS,bacon_ham_cooked_ppc_average_g_ONS,sausages_ppc_average_g_ONS,total_ppc_average_g_ONS,pig_price_pence_kg
1973,NA,14669.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,14804.9,NA,NA,NA,NA,91,116,25,59,291.324829598903,NA
1975,NA,12426.1,NA,NA,NA,NA,79,111,26,54,270.585512342782,NA
1976,NA,13152.9,NA,NA,NA,NA,81,112,26,57,276.043753457438,NA
1977,NA,13802.7,NA,NA,NA,NA,94,120,27,59,301.205662568835,NA
1978,NA,13433,NA,NA,NA,NA,95,119,29,55,297.808646599344,NA
1979,NA,14352.4,NA,NA,NA,NA,104,120,29,57,310.575069885327,NA
1980,NA,14296.2,NA,NA,NA,NA,118,116,29,54,316.206869517211,NA
1981,NA,14536.5,NA,NA,NA,NA,109,115,30,55,308.469732892853,NA
1982,NA,14702,NA,NA,NA,NA,115,109,31,53,307.682026023654,NA
1983,NA,15549.4,NA,NA,NA,NA,101,111,29,49,289.799231753717,NA
1984,NA,14618.4,NA,NA,NA,NA,93,99,30,43,265.010632938556,NA
1985,NA,14978.658,976.4,356.9,50.3,1259,98,102,30,42,272.036134156988,NA
1986,NA,15267.4,1001.6,347.8,57.4,1268.7,103,102,30,38,273.812972653523,NA
1987,NA,15468,1012.6,365.1,49.5,1306.2,90,96,31,38,254.716487062565,NA
1988,NA,15400.1,1037.2,371.1,58.8,1325.9,94,96,30,35,255.149891352012,NA
1989,NA,14182.5,961.5,409.2,59,1286.1,90,92,32,35,249.85617556356,NA
1990,NA,13878.6,970.4,396.1,56.6,1282.3,84,84,31,35,234.030597049203,NA
1991,NA,14091,1007.6,384.5,81,1278,82,83,31,42,237.47633064403,NA
1992,795.5,14160.1,1001.8,377.9,103.1,1239.7,72,75,31,39,217.401458366244,NA
1993,811.5,14264.8,1023.4,403.8,105,1292.7,80,75,32,40,227.912995057753,NA
1994,793.5,14680.7,1060.9,388.4,129.3,1288.5,77,75,36,40,228.010591312093,NA
1995,753.5,14017.1,1010.1,447.9,160.3,1263.5,71,74,37,43,225.652410375318,NA
1996,766.5,13897.1,996.8,530.4,165.7,1326.1,73,76,31,52,232.396628638493,NA
1997,801,15132.5,1089.6,481.9,233.5,1314.2,74,71,39,54,238.723380229449,NA
1998,741.5,15871.7,1128.1,479.8,284.1,1307,75,74,38,52,238.851231655026,NA
1999,675,14349.7,1042.3,518.3,235.6,1319.5,69,66,37,48,220.980554952165,NA
2000,594,12370.3,906.5,603.7,213.9,1292.8,68,70,39,52,228.196153155365,NA
2001,572.5,10446.3,776.9,602.2,46.7,1331.3,61,68,45,54,227.824375812071,NA
2002,539,10260.4,774.4,679.6,106,1345.8,61,69,45,57,232.464416281521,NA
2003,515,9133.2,687.9,805.9,89.2,1402.7,56,70,47,62,235.44912774893,NA
2004,455.5,9150.5,678.6,810.5,104.6,1379.1,56,70,43,61,230.132217714049,NA
2005,458.5,8970.6,669.3,842.1,108.7,1397.6,52,68,44,58,222.583163807601,NA
2006,445.5,8900.2,667.5,844.2,111.1,1391.3,55,66,45,59,225.421288061663,NA
2007,423.5,9273.8,706.7,869.4,116.4,1451,54,64,45,59,222.16447793602,NA
2008,440.5,9191.8,705.7,813,151.8,1364.2,55,63,45,58,221.379616444244,NA
2009,421.5,8824.2,681.2,815.7,134.1,1362,54,68,43,61,225.633875479903,NA
2010,425,9410.8,712.2,810.8,168.5,1353.7,53,70,43,62,227.674159210363,NA
2011,420.5,9812.7,756.8,783.5,191.7,1347.4,56,69,43,59,226.502279095925,NA
2012,412.5,10034.5,776,733.6,180.7,1327.3,55,68,40,62,226.178952259375,NA
2013,409.5,10049.7,787.1,726.3,206.2,1305.3,51,64,39,57,210.774054225487,NA
2014,398,10227.2,822,733.7,208.8,1345.1,57,62,40,55,213.735616506669,NA
2015,404.5,10627,860.9,739.4,214.8,1383.3,50,60,39,52,200.84949172607,135.65
2016,412,10733.1,886.7,799.5,233.9,1450.1,51,59,40,52,202.766262256444,131.6015
2017,412,10420.2,867.3,804,247,1422,49,63,41,54,206.414509300867,160.075833333333
2018,407.5,10678.8,890.8,792.7,251.3,1429.9,47,57,41,57,201.691733734343,150.069166666667
2019,408.5,10889.4,921.7,757.5,273.6,1403.4,NA,NA,NA,NA,NA,151.915833333333
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.904
