year,month,breeding_herd_head,clean_slaughters_head,UK_production_kg,total_new_supply_kg,all_pig_price_p_kg,imports_tonnes,exports_tonnes
2015,1,NA,955542,82379411.7878628,112498119.330997,144.06,69031.546,20431.178
2015,2,NA,817350,70103523.6915117,NA,138.72,71437.025,22550.408
2015,3,NA,812045,69300457.7136152,NA,136.54,74774.802,23232.072
2015,4,NA,971266,82652688.8899049,111085422.319208,136.02,67138.171,20937.197
2015,5,NA,787407,66610645.021969,NA,136.02,69171.622,20868.906
2015,6,408000,813426,68427340.0457495,NA,136.88,74367.734,23193.907
2015,7,NA,1002890,83574320.790819,113992805.43547,137.18,78695.506,23665.43
2015,8,NA,821989,68481809.5719963,NA,136.78,74208.491,23140.003
2015,9,NA,827879,70030743.7435957,NA,134.88,75591.738,27828.297
2015,10,NA,1086241,92563865.2032916,123528650.645933,131.83,79842.281,25822.473
2015,11,NA,887996,75410258.491521,NA,129.91,86329.156,27401.483
2015,12,401000,843005,70728824.6429859,NA,128.98,77408.636,25371.176
2016,1,NA,970366,85035915.2364416,113869659.394977,121.59,66123.72,26056.547
2016,2,NA,876465.928571429,76408425.1641756,NA,116.66,70576.053,27505.259
2016,3,NA,922996.392857143,79825218.9843154,NA,115.98,72673.536,30414.897
2016,4,NA,884842.928571429,76014164.2737758,113629607.945307,116.83,69764.956,29548.575
2016,5,NA,863840.535714286,73338494.5334817,NA,119.46,74379.654,25785.633
2016,6,415000,864774.357142857,74028361.2286633,NA,124.35,88143.214,27152.186
2016,7,NA,864439.957142857,72339808.5188976,123999099.185518,130.67,80667.869,22364.28
2016,8,NA,897288.178571429,75380214.5692497,NA,137.85,87021.738,24504.789
2016,9,NA,909048.071428571,77850788.4684073,NA,141.93,84579.067,27173.12
2016,10,NA,874252,74346469.5550086,131852747.740199,147.26,90620.698,24805.071
2016,11,NA,949531,81964662.8635883,NA,152.08,93771.628,27881.687
2016,12,409000,855254.771428571,72676078.6019989,NA,154.558,92671.866,25329.496
2017,1,NA,858636.714285714,74742484.2442935,121540690.312949,153.85,84551.526,26654.446
2017,2,NA,791925.107142857,69113682.4702249,NA,153.19,76534.297,25215.438
2017,3,NA,904529.535714286,78507552.6243286,NA,154.61,91782.09,28840.543
2017,4,NA,775544.9,66838297.2945157,113359569.104881,159.03,78052.322,27255.023
2017,5,NA,883774.457142857,75590186.8884853,NA,163.23,85214.568,28810.549
2017,6,417000,847883.428571429,72534293.5316417,NA,165.6,91568.411,28011.371
2017,7,NA,834376.028571429,71128337.8971895,116399899.440046,167.9,80596.118,27470.83
2017,8,NA,909966.185714286,78328136.1099133,NA,167.8,83036.932,27176.712
2017,9,NA,870588.75,76593298.3130343,NA,165.23,79431.715,27949.64
2017,10,NA,925571.178571429,81769916.6000696,122707705.400907,160,83785.577,27323.328
2017,11,NA,983449.464285714,86200263.4185606,NA,156.3,83561.935,30771.619
2017,12,407000,833969.25,71226719.5840897,NA,154.17,79602.054,29188.519
2018,1,NA,912198.8,80812001.6025081,112203419.369803,150.96,74684.535,25673.86
2018,2,NA,867548.628571429,76101886.3293635,NA,148.9,71921.277,27999.078
2018,3,NA,861984.642857143,75074007.7775387,NA,148.54,79298.384,31507.62
2018,4,NA,877884.128571429,76410821.1619482,120425904.712986,148.62,81914.606,26071.768
2018,5,NA,897918.264285714,77638813.815662,NA,151.02,82165.604,27464.686
2018,6,409000,832031.857142857,71801928.5613484,NA,152.82,88200.076,27352.325
2018,7,NA,883423.107142857,75515874.0434268,118111989.199892,153.11,89398.141,26970.239
2018,8,NA,945431,81682907.3482777,NA,152.2,78536.57,29692.375
2018,9,NA,848748.714285714,73352563.6079703,NA,151.18,79000.285,30459.839
2018,10,NA,963937.971428571,84517795.1004706,125908107.858628,149.09,89495.289,34032.83
2018,11,NA,952344.171428571,83279814.497366,NA,147.91,94349.431,32356.406
2018,12,406000,835379,72201801.5780486,NA,146.48,75588.783,26957.269
2019,1,NA,939880.514285714,83071355.4342519,121317728.395725,144.41,80095.871,28763.439
2019,2,NA,834197.307142857,74125653.5602936,NA,142.99,76996.527,28008.254
2019,3,NA,859329.464285714,76671996.3926305,NA,142.86,88480.288,33279.47
2019,4,NA,888876,78439535.8770018,110093605.074962,143.8,78633.295,31745.259
2019,5,NA,913870.285714286,80175080.9341037,NA,148.12,73265.138,33321.505
2019,6,413000,809427.285714286,70750704.6137797,NA,151.96,68095.657,29540.324
2019,7,NA,906725.742857143,78928975.8356468,115631452.53269,154.98,72199.068,30262.809
2019,8,NA,938657.614285714,82286855.2919058,NA,155.57,70138.767,32521.705
2019,9,NA,899778.842857143,78921212.4705168,NA,155.81,80651.36,31862.353
2019,10,NA,1002248.05714286,88914386.5507653,120756294.637886,158.52,83532.605,36108.197
2019,11,NA,961993.314285714,85533266.2491871,NA,160.56,73620.365,33950.106
2019,12,404000,934390.428571429,82108895.1137048,NA,163.41,70915.115,29067.072
