date,slaughtered_thousand_head,price_app_p_kg,breeding_herd_thousand_head,clean_slaughters__thousand_head
05/04/2014,158.844,161.98,NA,158.844
12/04/2014,160.741,162.09,NA,160.741
19/04/2014,159.691,161.92,NA,159.691
26/04/2014,154.746,162.59,NA,154.746
03/05/2014,157.465,162.78,NA,157.465
10/05/2014,160.365,162.83,NA,160.365
17/05/2014,162.071,163.39,NA,162.071
24/05/2014,164.964,163,NA,164.964
31/05/2014,147.837,163.31,NA,147.837
07/06/2014,167.704,163.04,406,167.704
14/06/2014,159.058,162.82,NA,159.058
21/06/2014,167.281,162.21,NA,167.281
28/06/2014,158.388,162.09,NA,158.388
05/07/2014,157.887,161.65,NA,157.887
12/07/2014,160.426,161.92,NA,160.426
19/07/2014,165.699,160.93,NA,165.699
26/07/2014,168.059,160.03,NA,168.059
02/08/2014,169.458,159.23,NA,169.458
09/08/2014,163.474,158.91,NA,163.474
16/08/2014,165.24,157.84,NA,165.24
23/08/2014,169.636,157.32,NA,169.636
30/08/2014,153.347,156.79,NA,153.347
06/09/2014,169.372,156.43,NA,169.372
13/09/2014,174.702,155.97,NA,174.702
20/09/2014,178.528,155.86,NA,178.528
27/09/2014,172.687,155.3,NA,172.687
04/10/2014,181.16,155.58,NA,181.16
11/10/2014,169.568,154.72,NA,169.568
18/10/2014,167.285,153.31,NA,167.285
25/10/2014,174.736,152.06,NA,174.736
01/11/2014,176.782,151.01,NA,176.782
08/11/2014,180.238,149.19,NA,180.238
15/11/2014,183.502,147.9,NA,183.502
22/11/2014,185.231,147.09,NA,185.231
29/11/2014,187.884,146.52,NA,187.884
06/12/2014,191.727,145.54,390,191.727
13/12/2014,201.575,144.89,NA,201.575
20/12/2014,203.166,144.8,NA,203.166
27/12/2014,91.826,144.32,NA,91.826
03/01/2015,123.196,142.83,NA,123.196
10/01/2015,174.631,141.9,NA,174.631
17/01/2015,166.289,141.46,NA,166.289
24/01/2015,166.141,140.69,NA,166.141
31/01/2015,164.643,140.75,NA,164.643
07/02/2015,176.986,138.82,NA,176.986
14/02/2015,172.981,136.43,NA,172.981
21/02/2015,167.519,135.2,NA,167.519
28/02/2015,168.224,134.43,NA,168.224
07/03/2015,169.229,133.78,NA,169.229
14/03/2015,168.866,134.14,NA,168.866
21/03/2015,173.686,134.03,NA,173.686
28/03/2015,176.407,134.33,NA,176.407
04/04/2015,157.717,133.64,NA,157.717
11/04/2015,161.028,133.3,NA,161.028
18/04/2015,170.011,133.41,NA,170.011
25/04/2015,167.935,133.46,NA,167.935
02/05/2015,163.169,134.05,NA,163.169
09/05/2015,159.108,133.26,NA,159.108
16/05/2015,167.226,133.54,NA,167.226
23/05/2015,172.395,133.73,NA,172.395
30/05/2015,165.788,133.75,NA,165.788
06/06/2015,176.818,133.86,408,176.818
13/06/2015,174.039,134.41,NA,174.039
20/06/2015,170.267,134.57,NA,170.267
27/06/2015,165.811,134.81,NA,165.811
04/07/2015,175.495,134.5,NA,175.495
11/07/2015,171.987,134.7,NA,171.987
18/07/2015,165.122,134.83,NA,165.122
25/07/2015,170.663,134.87,NA,170.663
01/08/2015,168.129,134.69,NA,168.129
